month,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow,cash_balance_end,accounts_receivable,ar_0_30,ar_30_60,ar_60_90,ar_90_plus,accounts_payable,inventory
2025-01,716975.17,-51504.34,148628.03,665470.83,8814098.86,2960231.49,1351137.92,722553.2,425949.37,460591.01,2203013.31,1464768.68
2025-02,707446.74,-393734.55,32681.44,313712.19,9160492.49,2955981.8,1473704.35,621960.56,402449.72,457867.16,2246260.26,1578322.96
2025-03,924751.42,-256923.33,33784.13,667828.09,9862104.71,3056497.8,1476793.28,762298.2,256902.5,560503.82,1701256.24,1326208.14
2025-04,404178.15,-212148.86,62429.44,192029.29,10116563.44,3324491.87,1984218.95,672619.01,477197.89,190456.02,2209314.35,1322126.92
2025-05,592347.91,-155455.84,-3073.1,436892.07,10550382.41,3056210.97,1378158.43,852867.79,274171.97,551012.78,2112878.64,1305017.34
2025-06,566505.56,-224765.16,117018.81,341740.4,11009141.62,3059803.43,1776575.97,769230.36,335770.64,178226.45,1899252.84,1590392.92
2025-07,599073.01,-181435.08,31368.78,417637.93,11458148.33,3334911.44,1857886.87,829249.66,321125.65,326649.26,2396898.38,1433081.93
2025-08,764022.51,-6530.88,308622.06,757491.63,12524262.02,2763845.16,1281436.33,654271.68,331805.09,496332.06,2366706.57,1234958.04
2025-09,570677,-40939.93,164925.31,529737.07,13218924.4,3819249.04,2236633.6,851222.62,362323.35,369069.46,1885243.89,1420560.86
2025-10,700497.26,-233425.65,176731.02,467071.61,13862727.03,3484193.26,1730166.1,724286.92,453079.37,576660.88,2631378.12,1541920.18
2025-11,571894.86,-232852.39,31948.98,339042.47,14233718.48,2597885.9,1336642.73,724183.19,251448.42,285611.57,2096350.1,1482223.37
2025-12,690076.77,-163321.38,-156355.05,526755.39,14604118.82,3531094.58,1655778.87,1005497.44,325824.04,543994.24,2227278.21,1583061.61
