month,region,product,revenue,cogs,gross_profit,gross_margin,marketing,payroll,technology,logistics,admin,opex_total,ebitda,ebitda_margin
2025-01,North America,Product A,856795.97,384373.54,472422.43,0.5514,51407.76,34271.84,8567.96,17135.92,8567.96,119951.44,352470.99,0.4114
2025-01,North America,Product B,486187.09,274807.67,211379.42,0.4348,34033.1,19447.48,4861.87,9723.74,4861.87,72928.06,138451.36,0.2848
2025-01,North America,Product C,307616.65,183849.75,123766.9,0.4023,18457,12304.67,3076.17,6152.33,3076.17,43066.34,80700.56,0.2623
2025-01,Europe,Product A,546500.58,250119.3,296381.28,0.5423,32790.03,16395.02,5465.01,10930.01,5465.01,71045.08,225336.2,0.4123
2025-01,Europe,Product B,272890.3,151570.26,121320.04,0.4446,19102.32,8186.71,2728.9,5457.81,2728.9,38204.64,83115.4,0.3046
2025-01,Europe,Product C,181994.89,108349.33,73645.56,0.4047,10919.69,5459.85,1819.95,3639.9,1819.95,23659.34,49986.22,0.2747
2025-01,Asia,Product A,675263.01,290948.68,384314.33,0.5691,40515.78,20257.89,6752.63,20257.89,6752.63,94536.82,289777.51,0.4291
2025-01,Asia,Product B,335651.45,182720.97,152930.48,0.4556,23495.6,10069.54,3356.51,10069.54,3356.51,50347.7,102582.78,0.3056
2025-01,Asia,Product C,234431.84,141395.8,93036.04,0.3969,14065.91,7032.96,2344.32,7032.96,2344.32,32820.47,60215.57,0.2569
2025-02,North America,Product A,808820.8,352546.35,456274.45,0.5641,48529.25,32352.83,8088.21,16176.42,8088.21,113234.92,343039.53,0.4241
2025-02,North America,Product B,523491.1,286738.19,236752.91,0.4523,36644.38,20939.64,5234.91,10469.82,5234.91,78523.66,158229.25,0.3023
2025-02,North America,Product C,322084.33,188661.71,133422.62,0.4142,19325.06,12883.37,3220.84,6441.69,3220.84,45091.8,88330.82,0.2742
2025-02,Europe,Product A,496490.93,223971.64,272519.29,0.5489,29789.46,14894.73,4964.91,9929.82,4964.91,64543.83,207975.46,0.4189
2025-02,Europe,Product B,268768.21,148832.27,119935.94,0.4462,18813.77,8063.05,2687.68,5375.36,2687.68,37627.54,82308.4,0.3062
2025-02,Europe,Product C,185534.44,110779.47,74754.97,0.4029,11132.07,5566.03,1855.34,3710.69,1855.34,24119.47,50635.5,0.2729
2025-02,Asia,Product A,659634.17,309053.64,350580.53,0.5315,39578.05,19789.03,6596.34,19789.03,6596.34,92348.79,258231.74,0.3915
2025-02,Asia,Product B,384629.79,207478.11,177151.68,0.4606,26924.09,11538.89,3846.3,11538.89,3846.3,57694.47,119457.21,0.3106
2025-02,Asia,Product C,269292.96,158288.13,111004.83,0.4122,16157.58,8078.79,2692.93,8078.79,2692.93,37701.02,73303.81,0.2722
2025-03,North America,Product A,874827.49,376528.64,498298.85,0.5696,52489.65,34993.1,8748.27,17496.55,8748.27,122475.84,375823.01,0.4296
2025-03,North America,Product B,447270.09,246879.05,200391.04,0.448,31308.91,17890.8,4472.7,8945.4,4472.7,67090.51,133300.53,0.298
2025-03,North America,Product C,308229.33,174238.19,133991.14,0.4347,18636.68,11987.11,3043.97,5872.18,3066.04,42605.98,91385.16,0.2965
2025-03,Europe,Product A,516740.42,234440.32,282300.1,0.5463,32538.01,21399.67,5167.24,15722.35,5354.18,80181.45,202118.65,0.3911
2025-03,Europe,Product B,281855.95,150406.79,131449.16,0.4664,19020.05,11781.68,2938.22,5856.67,2832.8,42429.42,89019.74,0.3158
2025-03,Europe,Product C,180059.28,106776.08,73283.2,0.407,10543.16,7521.52,1858.48,3477.05,1859.9,25260.11,48023.09,0.2667
2025-03,Asia,Product A,676651.93,279481.09,397170.84,0.587,38660.33,27167,6989.79,21000.57,6888.94,100706.63,296464.21,0.4381
2025-03,Asia,Product B,354481.86,196179.57,158302.29,0.4466,25301.06,14478.98,3622.31,7437.23,3527.01,54366.59,103935.7,0.2932
2025-03,Asia,Product C,238145.14,136098.91,102046.23,0.4285,14213.52,9170.49,2445.46,4807.54,2454,33091.01,68955.22,0.2896
2025-04,North America,Product A,878681.95,369739.22,508942.73,0.5792,51519.19,33456.99,8591.73,25922.79,9123.24,128613.94,380328.79,0.4328
2025-04,North America,Product B,536166.76,288301.13,247865.63,0.4623,38925.23,21623.23,5274.1,10524.23,5162.94,81509.73,166355.9,0.3103
2025-04,North America,Product C,347372.24,196674.65,150697.59,0.4338,21720.87,14319.71,3450.43,7093.38,3406.56,49990.95,100706.64,0.2899
2025-04,Europe,Product A,526784.59,229394.5,297390.09,0.5645,30397.71,20530.97,5322.68,16116.17,5262.94,77630.47,219759.62,0.4172
2025-04,Europe,Product B,271976.97,146620.61,125356.36,0.4609,19408.27,11294.47,2805.98,5546.79,2812.1,41867.61,83488.75,0.307
2025-04,Europe,Product C,189504.04,107863.7,81640.34,0.4308,10945.33,7610.34,1923.78,3974.97,1881.01,26335.43,55304.91,0.2918
2025-04,Asia,Product A,716967.55,309380.98,407586.57,0.5685,41063.05,27466.32,7403.21,22538.73,7384.55,105855.86,301730.71,0.4208
2025-04,Asia,Product B,350452.1,191158.93,159293.17,0.4545,23999.73,14003.91,3624.01,7299.05,3398.54,52325.24,106967.93,0.3052
2025-04,Asia,Product C,250624.27,148319.96,102304.31,0.4082,14682.72,9928.59,2384.05,5086.66,2472.83,34554.85,67749.46,0.2703
2025-05,North America,Product A,914710.46,386685.95,528024.51,0.5773,55395.71,37322.86,9195.39,27725.49,8901.83,138541.28,389483.23,0.4258
2025-05,North America,Product B,509678.7,278658.09,231020.61,0.4533,37233.02,19847.74,5311.27,10652.23,5133.16,78177.42,152843.19,0.2999
2025-05,North America,Product C,354713.59,199179.31,155534.28,0.4385,20761.83,14246.79,3547.92,7415.11,3717.37,49689.02,105845.26,0.2984
2025-05,Europe,Product A,589037.71,265540.94,323496.77,0.5492,34666.55,23712.38,5999.61,16875.39,5795.69,87049.62,236447.15,0.4014
2025-05,Europe,Product B,289947.05,162559.93,127387.12,0.4393,21254.95,11062.39,2921.41,5684.84,2941.54,43865.13,83521.99,0.2881
