month,region,product,channel,units_2025,aov_2025,revenue_2025,units_2024,aov_2024,revenue_2024
2025-01,North America,Product A,Direct,2332,388.09,905025.88,2055,382.8,786654
2025-01,North America,Product A,Online,2101,403.54,847837.54,1794,406.24,728794.56
2025-01,North America,Product A,Partner,1633,395.84,646406.72,1474,390.22,575184.28
2025-01,North America,Product B,Direct,1399,962.98,1347209.02,1343,974.97,1309384.71
2025-01,North America,Product B,Online,1261,1005.15,1267494.15,1085,1020.08,1106786.8
2025-01,North America,Product B,Partner,979,932.37,912790.23,866,904.64,783418.24
2025-01,North America,Product C,Direct,934,276.17,257942.78,904,280.45,253526.8
2025-01,North America,Product C,Online,841,275.33,231552.53,735,280.19,205939.65
2025-01,North America,Product C,Partner,654,284.08,185788.32,579,288.29,166919.91
2025-01,Europe,Product A,Direct,1696,417.66,708351.36,1531,425.88,652022.28
2025-01,Europe,Product A,Online,1527,375.44,573296.88,1442,371.67,535948.14
2025-01,Europe,Product A,Partner,1189,416.79,495563.31,1094,408.58,446986.52
2025-01,Europe,Product B,Direct,1018,931.31,948073.58,952,917.32,873288.64
2025-01,Europe,Product B,Online,916,976.37,894354.92,827,962.23,795764.21
2025-01,Europe,Product B,Partner,712,907.65,646246.8,674,913.1,615429.4
2025-01,Europe,Product C,Direct,679,279.24,189603.96,660,277.89,183407.4
2025-01,Europe,Product C,Online,612,278.67,170546.04,600,270.65,162390
2025-01,Europe,Product C,Partner,476,275.74,131252.24,409,275.32,112605.88
2025-01,Asia,Product A,Direct,1908,411.66,785447.28,1841,418.95,771286.95
2025-01,Asia,Product A,Online,1718,403.51,693230.18,1557,409.28,637248.96
2025-01,Asia,Product A,Partner,1336,408.22,545268,1241,404.5,502187
2025-01,Asia,Product B,Direct,1123,945.6,1062009,1055,940.15,991258
2025-01,Asia,Product B,Online,1011,988.33,999681,948,978.4,927043
2025-01,Asia,Product B,Partner,785,921.44,723330,732,912.75,667854
2025-01,Asia,Product C,Direct,748,277.85,207832,720,275.9,198648
2025-01,Asia,Product C,Online,673,276.4,185987,628,272.15,170850
2025-01,Asia,Product C,Partner,524,280.12,146783,487,278.55,135673
2025-02,North America,Product A,Direct,2022,381.7,771797.4,1796,378.55,679875.8
2025-02,North America,Product A,Online,1835,395.88,726439.8,1556,400.04,622462.24
2025-02,North America,Product A,Partner,1469,403.67,592991.23,1310,390.21,511175.1
2025-02,North America,Product B,Direct,1242,976.9,1213309.8,1175,959.01,1126836.75
2025-02,North America,Product B,Online,1086,1023.25,1111249.5,968,1035.97,1002818.96
2025-02,North America,Product B,Partner,864,920.45,795268.8,756,895.92,677315.52
2025-02,North America,Product C,Direct,844,279.72,236083.68,770,284.15,218795.5
2025-02,North America,Product C,Online,739,270.49,199892.11,621,280.61,174258.81
2025-02,North America,Product C,Partner,587,288,169056,509,286.91,146037.19
2025-02,Europe,Product A,Direct,1500,420.94,631410,1349,429.6,579530.4
2025-02,Europe,Product A,Online,1383,374.69,518196.27,1224,367.08,449305.92
2025-02,Europe,Product A,Partner,1043,410.57,428224.51,967,410.11,396576.37
2025-02,Europe,Product B,Direct,912,927.19,845597.28,814,908.96,739893.44
2025-02,Europe,Product B,Online,783,967.7,757709.1,712,976.97,695602.64
2025-02,Europe,Product B,Partner,644,896.49,577339.56,599,916.11,548749.89
2025-02,Europe,Product C,Direct,592,277.17,164084.64,561,283.23,158892.03
2025-02,Europe,Product C,Online,526,283.37,149052.62,532,269.92,143597.44
2025-02,Europe,Product C,Partner,424,273.61,116010.64,348,275.42,95846.16
2025-02,Asia,Product A,Direct,1640,407.44,668201.6,1612,422.27,680699.24
2025-02,Asia,Product A,Online,1511,398.82,602617.02,1332,412.46,549396.72
2025-02,Asia,Product A,Partner,1203,413.4,497320.2,1092,409.99,447709.08
2025-02,Asia,Product B,Direct,982,932.48,915695.36,897,941.65,844660.05
2025-02,Asia,Product B,Online,898,1007.62,904842.76,821,988.07,811205.47
2025-02,Asia,Product B,Partner,688,904.69,622426.72,621,924.64,574201.44
2025-02,Asia,Product C,Direct,677,281.18,190358.86,614,274.65,168635.1
2025-02,Asia,Product C,Online,585,276.29,161629.65,558,276.65,154370.7
2025-02,Asia,Product C,Partner,453,278.06,125961.18,424,275.92,116990.08
2025-03,North America,Product A,Direct,2203,380.52,838285.56,1928,380.76,734105.28
2025-03,North America,Product A,Online,1993,399.58,796362.94,1678,409.5,687141
2025-03,North America,Product A,Partner,1556,397.48,618478.88,1349,388.34,523870.66
2025-03,North America,Product B,Direct,1323,979.77,1296235.71,1229,991.38,1218406.02
2025-03,North America,Product B,Online,1230,1008.02,1239864.6,1035,1000.71,1035734.85
2025-03,North America,Product B,Partner,916,933.9,855452.4,805,921,741405
2025-03,North America,Product C,Direct,913,278.46,254233.98,857,278.31,238511.67
2025-03,North America,Product C,Online,802,277.37,222450.74,665,278.39,185129.35
2025-03,North America,Product C,Partner,620,287.11,178008.2,554,282.97,156765.38
2025-03,Europe,Product A,Direct,1619,414.37,670865.03,1436,428.74,615670.64
2025-03,Europe,Product A,Online,1448,371.76,538308.48,1359,371.76,505221.84
2025-03,Europe,Product A,Partner,1098,422.53,463937.94,1032,415.18,428465.76
2025-03,Europe,Product B,Direct,981,932.69,914968.89,912,935.04,852756.48
2025-03,Europe,Product B,Online,877,987.49,866028.73,749,963.91,721968.59
2025-03,Europe,Product B,Partner,681,898.56,611919.36,636,895.72,569677.92
2025-03,Europe,Product C,Direct,662,278.66,184472.92,608,278.73,169467.84
2025-03,Europe,Product C,Online,584,273.44,159688.96,555,271.62,150749.1
2025-03,Europe,Product C,Partner,441,271.78,119854.98,371,272.64,101149.44
2025-03,Asia,Product A,Direct,1789,412.66,738248.74,1705,426.91,727881.55
2025-03,Asia,Product A,Online,1649,405.1,668009.9,1436,412.56,592436.16
2025-03,Asia,Product A,Partner,1252,415,519580,1181,405.39,478765.59
2025-03,Asia,Product B,Direct,1077,955,1028535,986,931.78,918735.08
2025-03,Asia,Product B,Online,940,977.79,919122.6,861,972.23,837090.03
2025-03,Asia,Product B,Partner,743,931.7,692253.1,687,924.7,635268.9
2025-03,Asia,Product C,Direct,702,279.99,196552.98,667,274.29,182951.43
2025-03,Asia,Product C,Online,648,276.66,179275.68,593,274.16,162576.88
2025-03,Asia,Product C,Partner,491,283.51,139203.41,465,281.84,131055.6
2025-04,North America,Product A,Direct,2457,382.84,940637.88,2087,383.05,799425.35
2025-04,North America,Product A,Online,2190,395.61,866385.9,1805,398.97,720140.85
2025-04,North America,Product A,Partner,1715,391.53,671473.95,1479,397.62,588079.98
2025-04,North America,Product B,Direct,1456,967.03,1407995.68,1325,974.96,1291822
2025-04,North America,Product B,Online,1304,1022.39,1333196.56,1072,1005.94,1078367.68
2025-04,North America,Product B,Partner,1028,949.81,976404.68,889,890.85,791965.65
2025-04,North America,Product C,Direct,946,279.33,264246.18,933,284.64,265569.12
2025-04,North America,Product C,Online,885,270.83,239684.55,750,285.01,213757.5
2025-04,North America,Product C,Partner,679,284.94,193474.26,599,291.31,174494.69
2025-04,Europe,Product A,Direct,1774,416.75,739314.5,1573,421.42,662893.66
2025-04,Europe,Product A,Online,1573,376.88,592832.24,1434,366.55,525632.7
2025-04,Europe,Product A,Partner,1219,410.77,500728.63,1124,411.61,462649.64
2025-04,Europe,Product B,Direct,1031,921.26,949819.06,938,928.89,871298.82
2025-04,Europe,Product B,Online,971,972.45,944248.95,832,947.74,788519.68
2025-04,Europe,Product B,Partner,716,920.03,658741.48,671,911.22,611428.62
2025-04,Europe,Product C,Direct,703,277.73,195244.19,675,275.62,186043.5
2025-04,Europe,Product C,Online,620,283.81,175962.2,616,265.78,163720.48
2025-04,Europe,Product C,Partner,501,272.25,136397.25,408,273.43,111559.44
2025-04,Asia,Product A,Direct,2015,416.67,839590.05,1855,411.4,763147
2025-04,Asia,Product A,Online,1800,402.49,724482,1610,401.76,646833.6
2025-04,Asia,Product A,Partner,1392,401.55,558957.6,1271,400.89,509531.19
2025-04,Asia,Product B,Direct,1140,959.21,1093499.4,1078,923.64,995683.92
2025-04,Asia,Product B,Online,1061,975.67,1035185.87,942,987.68,930394.56
2025-04,Asia,Product B,Partner,793,917.33,727442.69,761,922.23,701817.03
2025-04,Asia,Product C,Direct,768,278,213504,737,272.55,200869.35
2025-04,Asia,Product C,Online,675,276.51,186644.25,640,277.52,177612.8
2025-04,Asia,Product C,Partner,531,278.82,148053.42,503,279.49,140583.47
2025-05,North America,Product A,Direct,2484,394.75,980559,2237,385.29,861893.73
2025-05,North America,Product A,Online,2289,411.6,942152.4,1884,401.47,756369.48
2025-05,North America,Product A,Partner,1792,396.61,710725.12,1524,383.63,584652.12
2025-05,North America,Product B,Direct,1530,977.27,1495223.1,1436,985.5,1415178
2025-05,North America,Product B,Online,1358,1015.5,1379049,1124,1005.57,1130260.68
2025-05,North America,Product B,Partner,1049,932.8,978507.2,905,894.51,809531.55
2025-05,North America,Product C,Direct,981,271.05,265900.05,973,278.83,271301.59
2025-05,North America,Product C,Online,907,274.7,249152.9,795,278.98,221789.1
2025-05,North America,Product C,Partner,708,288.33,204137.64,605,289.42,175099.1
2025-05,Europe,Product A,Direct,1794,417.98,749856.12,1594,425.44,678151.36
2025-05,Europe,Product A,Online,1626,382.85,622514.1,1521,375.72,571470.12
2025-05,Europe,Product A,Partner,1322,417.82,552358.04,1182,405,478710
2025-05,Europe,Product B,Direct,1092,945.99,1033021.08,1014,907.22,919921.08
2025-05,Europe,Product B,Online,992,968.85,961099.2,902,956.22,862510.44
2025-05,Europe,Product B,Partner,752,915.16,688200.32,727,931,676837
2025-05,Europe,Product C,Direct,736,281.09,206882.24,686,281.33,192992.38
2025-05,Europe,Product C,Online,657,277.09,182048.13,651,274.43,178653.93
2025-05,Europe,Product C,Partner,520,273.46,142199.2,436,271.51,118378.36
